1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0.027778
12,0.055556,0.23611
13,0.47222,0.72222
14,1.5,1.1389
15,2.75,1.0694
16,3.6389,0.97222
17,4.6944,1.1944
18,6.0278,1.2639
19,7.2222,0.80556
20,7.6389,0.29167
21,7.8056,0.11111
22,7.8611,0.097222
23,8,0.11111
24,8.0833,0.27778
25,8.5556,0.38889
26,8.8611,0.45833
27,9.4722,0.65278
28,10.167,0.69444
29,10.861,0.65278
30,11.472,0.47222
31,11.806,0.27778
32,12.028,0.19444
33,12.194,0.15278
34,12.333,0.083333
35,12.361,-0.027778
36,12.278,-0.25
37,11.861,-0.59722
38,11.083,-0.79167
39,10.278,-0.73611
40,9.6111,-0.65278
41,8.9722,-0.77778
42,8.0556,-1
43,6.9722,-0.94444
44,6.1667,-0.58333
45,5.8056,-0.25
46,5.6667,-0.19444
47,5.4167,-0.27778
48,5.1111,-0.23611
49,4.9444,-0.083333
50,4.9444,-0.055556
51,4.8333,-0.29167
52,4.3611,-0.59722
53,3.6389,-0.5
54,3.3611,-0.15278
55,3.3333,-0.013889
56,3.3333,0
57,3.3333,0.041667
58,3.4167,0.083333
59,3.5,0.33333
60,4.0833,0.375
61,4.25,0.16667
62,4.4167,0.125
63,4.5,0.16667
64,4.75,0.22222
65,4.9444,0.13889
66,5.0278,0.083333
67,5.1111,0.30556
68,5.6389,0.66667
69,6.4444,0.86111
70,7.3611,0.91667
71,8.2778,0.84722
72,9.0556,0.63889
73,9.5556,0.40278
74,9.8611,0.27778
75,10.111,0.26389
76,10.389,0.29167
77,10.694,0.26389
78,10.917,0.13889
79,10.972,-0.041667
80,10.833,-0.13889
81,10.694,-0.23611
82,10.361,-0.20833
83,10.278,-0.083333
84,10.194,-0.15278
85,9.9722,-0.19444
86,9.8056,-0.18056
87,9.6111,-0.15278
88,9.5,-0.375
89,8.8611,-0.95833
90,7.5833,-1.375
91,6.1111,-1.4306
92,4.7222,-1.0833
93,3.9444,-0.69444
94,3.3333,-0.70833
95,2.5278,-0.86111
96,1.6111,-0.76389
97,1,-0.5
98,0.61111,-0.5
99,0,-0.30556
100,0,0
101,0,0
102,0,0
103,0,0
104,0,0
105,0,0
106,0,0
107,0,0
108,0,0
109,0,0
110,0,0
111,0,0
112,0,0
113,0,0
114,0,0
115,0,0
116,0,0
117,0,0
118,0,0
119,0,0
120,0,0
121,0,0
122,0,0
123,0,0
124,0,0
125,0,0
126,0,0
127,0,0
128,0,0
129,0,0
130,0,0
131,0,0
132,0,0
133,0,0
134,0,0
135,0,0
136,0,0
137,0,0.027778
138,0.055556,0.26389
139,0.52778,0.81944
140,1.6944,1.3611
141,3.25,1.4306
142,4.5556,1
143,5.25,0.48611
144,5.5278,0.26389
145,5.7778,0.40278
146,6.3333,0.63889
147,7.0556,0.68056
148,7.6944,0.52778
149,8.1111,0.29167
